Label;A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;P;Q;R;S;T;U;V;W
A;0;1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;0;0;1;0;1;1;1
B;1;0;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;1;1
C;1;1;0;1;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;1
D;1;1;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0
E;1;0;0;1;0;1;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0
F;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
G;0;0;0;0;1;1;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0
H;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
I;0;0;0;0;1;0;1;1;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0
J;1;1;0;1;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;0;1;1;1
K;1;1;1;0;1;1;1;0;1;1;0;0;1;1;1;0;0;0;1;0;0;1;1
L;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1
M;1;0;1;0;1;0;1;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0
N;1;0;1;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0
O;1;1;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;1;0;0;0;0
P;1;1;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0
Q;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0
S;1;0;0;1;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;0;1;1;1
T;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1
U;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1
V;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0
W;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0